year,China,Israel,Turkmenistan
1991,4.0598290598290596e-05,,0.0
1992,0.00015,,0.0
1993,0.0005316666666666666,,0.0
1994,0.0012975206611570249,,0.0
1995,0.0029754098360655736,,0.0
1996,0.005569105691056911,0.18716577540106952,
1997,0.01064516129032258,0.29094076655052264,
1998,0.01912,0.36626916524701875,
1999,0.03436507936507936,0.48080133555926546,0.0008888888888888889
2000,0.0676984126984127,0.7189542483660131,0.0016411378555798686
2001,0.1141732283464567,0.8814102564102564,0.0017607758620689655
2002,0.1609375,0.9905660377358491,0.0017382978723404256
2003,0.20930232558139536,1.021604938271605,0.0019306722689075631
2004,0.25769230769230766,1.093939393939394,0.010394190871369294
2005,0.30230769230769233,1.1564828614008942,0.02147239263803681
2006,0.3519083969465649,1.2298682284040996,0.043838383838383836
2007,0.41439393939393937,1.2805755395683454,0.07609561752988048
2008,0.48195488721804514,1.27015558698727,0.2235294117647059
